name,album,year,lyrics
Company,If You’re Reading This It’s Too Late,2015, i got some shit for you to come and get im at the st regis up on briar oaks hit me when you done your shift wooh i see you doin well baby oh you pullin shit together i can tell baby is you single or what i need a girl from the country i need a girl from kentucky i need a shawty from houston i need a girl who gon love me i need a girl who gon trust me someone to fuck me someone to make me feel lucky someone thats so proud to be with me she walk right up to her ex look him dead in the face and say you aint got the juice like that you aint got the juice like that thats cold ice cold girl you aint have to do him like that why you had to do him like that gotta come through quick quick oh you at the club cashin out with eric then hit me when you done your shift i know a girl i should propose to but we just on some different shit she on some up at 9am already cookin in the kitchen shit and lately weve been fightin on some why you love these strippers shit yeah she workin with the spatula i know she love flippin shit oh oh me i dont deserve it shes just a little too perfect shes just a little too worth it i dont deserve her at all no not at all i only text her man i never call im still a canine at heart im a dog yeah thats why you gotta come through quick quick im posted at the derek up on westheimer hit me when youre done your shift i need some company i need some company i need you to take my mind off being in my prime some company im a dog im in heat baby heat baby im a dog im in heat baby im a dog im a dog im in heat baby im in heat baby mo city trip mo city trip right now yeah im on a mo city trip im on a mo city trip right now ayy ayy a mo city trip right now mo city trip im on a mo city trip right now its a couple faces in here that a nigga piped down so lets go find a place that we can sip right now tour round the city its the shit right now its kinda lit right now that youre here right now pop a couple percs lets get it in right now saturday nights off in my bed right now call up your girl and put them heels on its gettin rowdy rowdy right now yeah im on a mo city trip im a dog im a dog im in heat baby heat baby im a dog i go ham im a hog bitch so bad coulda thought i owed her somethin by the way i broke her off when she get too on we take if off drank so long for a year i didnt cough fantasizin and fistin and switchin up positions do you mind if we just menage just a little mo city trip right now mo city trip right now mo city trip right now
6 God,If You’re Reading This It’s Too Late,2014, rrrr ting ill admit it ill admit it get hurt boy aww here go another muhfucker that dont understand the concept of puttin money first boy im bout to hit you with the work boy i hate comin through stuntin on niggas that i know ahh thats the worst boy you havent been the man for like a minute i told you that im in it for the long haul you can really get the business rolling swishers hittin swishes got me feelin like a ball hog i dont pass em when i get it you too worried bout the bitches shell admit it shell admit it she aint fuckin with you niggas and just like every single other thing in my life you can have her when im finished i hear the talk on road is im the shit boy phone call back home shit is hot up in the 6 boy shit hot up in the 6 right now shit hot up in the 6 boy come see us and get it fixed boy already had a rolls royce sold a couple bentley last week them were my old toys i give a fuck about his squad boy im the real 6 god boy im about to say a true thing you was poppin back when usher wore a u chain goddamn you changed i put it on erything its a rrr ting its a ovo come through murk things i know you heard things bitch i know you heard things yeah i know you heard things i know you im not new to this coming from the motherfucking 6 side im not new to this niggas wouldnt make it on this side im not new to this im not new im not new yeah i know you heard things nobody really likes us except for us yeah all i ever needed was the squad so thats whats up yeah my sound got the whole city in your way right now yeah so i dont give a fuck about what anybody sayin right now
6PM in New York,If You’re Reading This It’s Too Late,2015, yeah yeah oh you gotta love it oh you got oh you gotta love it i heard what circulated lets get to the bottom of it i told 1da send me something and i got it covered somehow i always rise above it why you think i got my head in the clouds on my last album cover the game is all mine and im mighty possessive lil wayne could not have found him a better successor every shot you see em take at me they all contested allen iverson shoe deal these niggas all in question last night i went to sleep wanting more tryna decide what direction i should go towards some nights i wish i could go back in life not to change shit just to feel a couple things twice 28 at midnight wonder whats next for me longevity wonder how long theyll check for me prolly forever if i stay in my zone i speak on this generation but cant change it alone i heard a lil lil homie talking reckless in vibe thats quite a platform you chose you shouldve kept it inside oh you tried its so childish calling my name on the world stage you need to act your age and not your girls age it gets worse by the annual my careers like a how to manual so i guess its understandable man oh you gotta love it you gotta love it yeah i know rappers that call paparazzi to come and get em to show they outfits off guess they need the attention i remember when it used to be music that did it but then again times have changed man who are we kiddin im managed by my friends that i grew up with id rather give that 15 to people i fuck with if me and future hadnt made it with this rappin wed prolly be out in silicon tryna get our billions on but here we are yeah lately i feel the haters eatin away at my confidence they scream out my failures and whisper my accomplishments bitches alter my messages like we had words and stories bout my life hit the net like a bad serve bitter women im overtextin are pmsing crazy this year fuckin with my image ive been tryna reach the youth so i can save em this year fuck it i guess i gotta wait til next year and i heard someone say something that stuck with me a lot bout how we need protection from those protectin the block nobody lookin out for nobody maybe we should try and help somebody or be somebody instead of bein somebody that makes the news so everybody can tweet about it and then they start to r i p about it and four weeks later nobody even speaks about it damn i just had to say my piece about it oh you gotta love it but they scared of the truth so back to me showin out in public thats a hotter subject i been whippin mercedes and nigga try to budget i gotta make it back to memphis to check on my cousins shout out to ashley tasha bianca julia ericka southern america part of my heritage pardon my arrogance part in my hair again thats that comeback flow comeback flow once i start its apparent im with girl who ass is so big thats partly embarrassin but fuck all the blushin and fuck your discussions and fuck all the judgement your content so aggressive lately whats irkin you shit is gettin so personal in your verses too i wanna prove that im number one over all these niggas bein number two is just being the first to lose my city dictated music nobody seein us winter here already but somehow im heatin up been observin the game and felt like ive seen enough lets drop a tape on these niggas then well see wassup yeah boy you rappin like you seen it all you rappin like the throne should be the three of yall best i ever had seems like a decade ago decadent flow and i still got a decade to go oh please take it ease wheres the love and the peace why you rappin like you come from the streets i got a backyard where money seems to come from the trees and im never ever scared to get some blood on my leaves phantom slidin like the shit just hit a puddle of grease i cook the beef well done on the double with cheese special order for anybody thats comin for me shit you probably flinch if somebody sneeze you see they got me back talkin like its just 40 oli and me cuttin all loose ends i be the barber for free im almost at four minutes goin off on the beat feel like im in the malibu that had the cloth on the seats man oh you gotta love it yeah and on top of that its getting harder to eat rappers downgrading houses putting cars on the lease to think labels said theyd have a problem marketing me and now its everybody else thats getting hard to believe but man oh you gotta love it yeah and head to toe im prada covered i know your girl well just not in public blame the city im a product of it young nigga from the city you gotta love it yeah gotta love it yeah
Wednesday Night Interlude,If You’re Reading This It’s Too Late,2015, been a minute since weve slept together gotta get myself together ive been thinkin about everything i dont know if its because im lonely lonely on a wednesday night girl im lonely ill admit it if you just keep quiet girl im lonely that shit ain t my fault girl cause im lonely name another woman aint no other woman that should comfort me when i m lonely mixing remy little bit of henny im running on empty im lonely when i m lonely when i m lonely heard you spent your summers in miami at somebody s yacht that you didn t buy you re young yeah have fun girl but i hope it was worth it cause fuck it i m not here to judge fuck it i m not here to love everything you did to ball fuck it im just glad you called ring ring ring what a thing ring ring ring school bell i ring you and i got options bae but name another woman aint no other woman that should comfort me when i m lonely mixing remy little bit of henny im running on empty im lonely when i m lonely when i m lonely this shit ain t my fault
Energy,If You’re Reading This It’s Too Late,2015, lickwood means rewind and gunshot means forward you requested it so we rewind yeah way way way up turn it all up yeah look i got enemies got a lot of enemies got a lot of people tryna drain me of my energy they tryna take the wave from a nigga fuckin with the kid and pray for your nigga i got girls in real life tryna fuck up my day fuck goin online that ain t part of my day i got real shit poppin with my family too i got niggas that can never leave canada too i got two mortgages thirty million in total i got niggas that ll still try fuckin me over i got rap niggas that i gotta act like i like but my actin days are over fuck them niggas for life yeah i got enemies got a lot of enemies got a lot of people tryna drain me of this energy they tryna take the wave from a nigga fuckin with the kid and pray for your nigga i got people talkin down man like i give a fuck i bought this one a purse i bought this one a truck i bought this one a house i bought this one a mall i keep buyin shit just make sure you keep track of it all i got bitches askin me about the code for the wi fi so they can talk about they timeline and show me pictures of they friends just to tell me they ain t really friends ex girl she the female version of me i got strippers in my life but they virgins to me i hear everybody talkin bout what they gon be i got high hopes for you niggas we gon see i got money in the courts til all my niggas are free bout to call your ass a uber i got somewhere to be i hear fairy tales bout how they gon run up on me well run up when you see me then and we gon see i got enemies got a lot of enemies got a lot of people tryna drain me of this energy they tryna take the wave from a nigga fuckin with the kid and pray for your nigga nah fuck all of you niggas i ain t finished y all don t wanna hear me say it s a go y all don t wanna see win win 50 or whoa i got real ones livin past kennedy road i got real ones wit me everywhere that i go i m tryna tell ya i got enemies got a lot of enemies every time i see em somethin wrong with their memory tryna take it away from a nigga so tired of savin all these niggas mayne yeah run em i got enemies got a lot of enemies got a lot of people tryna drain me of this energy they tryna take the wave from a nigga fuckin with the kid and pray for your nigga 
Legend,If You’re Reading This It’s Too Late,2015, yeah when i pull up on a nigga tell that nigga back back im too good with these words watch a nigga backtrack if i die all i know is im a mothafuckin legend its too late for my city im the youngest nigga reppin oh my god oh my god if i die im a legend oh my god oh my god if i die im a legend im up first im on tour got a girl she from the south used to work used to dance in texas now she clean the house everyday i was strugglin to learn what lifes about on my way money taught me spanish make it andale way up north packed in honda cars they dont know who we are fuck em all they only pussy niggas shootin at the star right or wrong ima write my wrongs they cant live this long you dont know where youre gonna go i got this shit mapped out strong when i pull up on a nigga tell that nigga back back im too good with these words watch a nigga backtrack all i know if i die im a mothafuckin legend its too late for my city im the youngest nigga reppin oh my god oh my god if i die im a legend oh my god oh my god if i die im a legend im the one one why do i feel like the only one why do i feel like you owe me one 6 g o d im the holy one yeah you know wassup yeah they been off for a minute now you know they all sentimental now you know they all actin different now and i i just cant pretend seen too much its so hard for me to let new people in i cant change this shit set in stone they cant live this long you dont know where youre gonna go i got this shit mapped out strong when i pull up on a nigga tell that nigga back back im too good with these words watch a nigga backtrack all i know if i die im a mothafuckin legend its too late for my city im the youngest nigga reppin oh my god oh my god if i die im a legend oh my god oh my god if i die im a legend im the one
Preach,If You’re Reading This It’s Too Late,2015, young nigga preach preach preach preach preach preach preach young nigga preach preach preach preach preach preach preach im in miami i need to call up miss cassidy my name is party not participation sorry for the miscommunication i need a drink and some tequila with you you know what im trying to do hey lets pop the e off at liv ive got some time here to blow ive got the money to blow ive got the money and blow dont have to guess how i know oh its a secret trust me ill keep it you old niggas boring as bones you put the party tape on you know whats going on you know whats going on she keep it wet like tsunami she think she sunk the titanic i get her hot like wasabi she think its wavy and gnarly i think ima pop one for you drink one for you young nigga preach preach preach preach preach preach preach young nigga preach preach preach preach preach preach preach young nigga preach preach preach preach preach preach preach preach preach preach preach preach preach preach preach still in miami most of these girls are too messy ive got to do some reflecting ive got to find me one out here thats good at taking direction i am convinced that my calls are being recorded so hit my assistant to get me the message and make the connection like brrrrr im on that wave tonight i hope you not the crazy type yeah im in your state tonight i might just break the bank tonight yeah pnd aint with the ray tay you know jay wray got girls here going way way way way way way sauga city trip the pay day glod up off a gate way man you cant afford me doing is one thing doing it right is a whole different story niggas is all in their feelings these days all in their feelings these days but hearing a scripture with that many 6s you should be afraid young nigga preach preach preach preach preach preach preach young nigga preach preach preach preach preach preach preach young nigga preach preach preach preach preach preach preach preach preach preach preach preach preach preach preach im preaching oooh preaching preaching babe preaching whooo ima finally finally yeah boy you should know that your love is always on my mind and i cant deny it i want you im on you
You & The 6,If You’re Reading This It’s Too Late,2015, rider shit having conversations with mama man my life is a mess aint been returning the texts so she been reading the press she got google alerts them shits go straight to her phone she worry bout me from home you know she raised me alone she said i heard you back with you know who i told her girl im always back with you know who yeah and she like who are we kidding youre 27 youre just being you youre your fathers child man thank god you got some me in you at least i always at least i always see it through at least im always being true to what you taught me retired teacher but your words still got me evolvin never get sloppy drunk but alcohol is problem solvin and look i hate it when you hate on all my girlfriends and assistants always convinced that theres someone better like that girl from your gym who trains you i know you wanna arrange it you told me shes free thursday and im sure that shes an angel but she dont want this life the timing aint right maybe one day but even one day with us is the time of her life we do things that people pay to document you got the sweetest heart but im not here to give out compliments or boost nobodys confidence momma i got no friends in this momma i dont pretend with this momma ion joke with this momma i pull the knife out my back and i cut they throat with it momma im game of thrones with it momma im home alone with it momma im t i really hate using this tone with you momma i really hate gettin aggressive on this phone with you momma i really hate wasting your time to check a clone or two momma its just they cloning me momma them niggas wannabes momma its like im the one they wanna be momma i just i i cant be out here being vulnerable momma i mean i kill em every time they do a song with me momma i sing a hook they sing along with me momma what more they want from me momma yeah this is a crazy life but you and the six raised me right dont ever take advice that was great advice you and the six raised me right that shit saved my life yeah having conversations with momma we start talkin bout dad you know he dropping a single he saying this is his window that nigga still wearing linen that nigga still in the club call him after we get off the phone and show him some love that nigga memphis for real girl he love you to death he made mistakes throughout his life that he still doesnt accept but he just want our forgiveness and fuck it look how were living im content with this story who are we not to forgive him at least i been to a prison at least i know what its like i used to rap on the phone with one of his friends doing life and now i got me a grammy that could be part of the reason lets just call this shit even we got some things to believe in do you remember back to weston road scarlett road hangin with aaron bell and reny shit couldve gone south for me he looked out for me ma he never let me do drugs he let me shoot a gun one summer but out there everyone does he made me listen to his music old music soul music shit that can only be created if you go through it i used to get teased for being black and now im here and im not black enough cause im not acting tough or making stories up bout where im actually from yeah but i just roll with it momma rolling stone with it momma gotta be careful around rolling stone or anyone thats tryna throw stones at me momma im not condoning it momma they will not tear nothing down i built this home for you momma know i dont call enough momma i just been working with so little time for personal momma yeah hard labor let me pay the price you and the six raised me right that shit saved my life
Now & Forever,If You’re Reading This It’s Too Late,2015, its over its over yeah im leaving im gone i cant stay here no more and i cant sleep on the floor man im leaving im leaving you know i got my reasons yeah im leaving yeah im leaving yeah im leaving im gone im leaving im gone had to knock down the wall yeah i swear to god that im gone im leaving im leaving no looking back when im gone no looking back when im gone no more no more no more no more no more no more no more no more no more no more no more no more no more no more no more no more its over its over yeah im leaving im gone ive been doing this wrong ive been here for too long im leaving im leaving you know i got my reasons yeah im leaving im leaving im leaving im gone im leaving im gone i dont wanna miss the boat i dont wanna sit in coach i dont wanna sit at home i gotta get where im going im afraid that ima die before i get where im going i know ima be alone i know im out on my own i just gotta hit the road i just gotta know the road i just gotta hit the road i just gotta know the road i just gotta know the road something to say then say that then i just been out and bad from way back when i cant be out here on no laid back shit i cant be out here on no laid back shit you got something to say then say that then i just been out and bad from way back when i gotta get on the road i gotta get on the road i aint looking back no more no no no no more no more no more no more no more no more no more no more no more no more no more no more no more no more i gotta go out and get it want you to know what i did want you to know how it went thats why i keep telling you over and over again just let me go just let me go let me bring it home to you just let me go let me bring it home to you now and forever ill bring it home to you just let me go let me bring it home let me go let me bring it home to you let me go let me bring it home to you let me go let me bring it home now and forever ill bring it home to you let me go let me bring it home to you let me go let me bring it home to you now and forever ill bring it home now and forever ill bring it home
Empire,J.U.S.T.I.C.E. For All,2016, ima tell you like this nigga i got a hundred gs on my line i aint eatin jacksons when i be in overtown bitch im eatin lavish look up ho its snowin now i just throw the cabbage j u s t i c e league gon hold it down got a odor there in the attic thats a couple pounds new rolex that i ordered thats a hundred thou time to milk the game bitch i went and bought a cow my nigga gdk a goon hell gun you down slid up on him with the stick yeah and sat him down my nigga nut so slick they aint pat him down i got a hundred niggas on my line a hundred squares at a time nigga hold it down addicted to money addicted to chips my hoe was gay now she addicted to dick addicted to this addicted to that im gettin them stacks its more addictive than crack im addicted to money addicted to chips my hoe was gay now she addicted to dick addicted to this addicted to that im gettin them stacks its more addictive than crack alright my patience runnin thin olympic pools of money im just glad i learned to swim cannonball bitch i hope your diving boards sturdy and i hope when dinners cold my niggas do not desert me nah but shits all good the deal got signed and my splits all good and these haters pretendin that its all good say that shit in person man i wish yall would i say you lucky if your father was a figure cause my uncle was my father and my father was my nigga and my mother so proud cause his son is gettin bigger i took time to load the bullets now im bout to pull the trigger like boom boom boom im a genius god dammit i aint the type to murder you im more the type to plan it so please take a seat if you really cant stand it got success in my pocket and these rappers in a panic but skinny told me to do me and dont listen to anybody that knew me cause to have known me would mean that theres a new me and if you think i changed in the slightest couldve fooled me yeah nd to my city im the two three drug dealers live vicariously through me no bench time nickname starter drake franchise player i dont even get a water break and these other lames is hardly mentioned i bet that with this pen i could draw attention but you can tell by my strut im just chillin in the cut nigga what and im feelin like addicted to money addicted to chips my hoe was gay now she addicted to dick addicted to this addicted to that im gettin them stacks its more addictive than crack im addicted to money addicted to chips my hoe was gay now she addicted to dick addicted to this addicted to that im gettin them stacks its more addictive than crack
Gyalchester,More Life,2017, hermès link ice blue mink tat on my ribs like i do not know what permanent is they want me gone wait for the kicker bury me now and i only get bigger thats word to my nigga yeah october firm in the cut stay at the top like im stuck thats just how im givin it up she wanna get married tonight but i cant take a knee cause im wearin all white me and my broski are twins but we dont look alike i dont take naps me and the money are way too attached to go and do that muscle relax that and the spliff put me right on my back i gotta unpack virginia black i could go make enough money off that and not even rap whats that facts contract max i gotta bring that shit back hermès link ice blue mink tat on my ribs like i do not know what permanent is they want me gone out of the picture bury me now and i only get bigger thats word to my word to my im so hot yeah i m so right now whos not gang bitch let me find out keep hearin clicks when im talkin on the iphone feds in the city hate to see us on a high note i switch flow like i switch time zone cant get nobu but you can get milestone i gotta do mansion cause i outgrew condo gotta do maybach she wanna fuck on the drive home yeah met her once and i got through im never washed but im not new i know i said top five but im top two and im not two and i got one thought you had one but its not one nigga nah hermès link ice blue mink tat on my ribs like i do not know what permanent is they want me gone wait for the kicker bury me now and i only get bigger thats word to my nigga
Can’t Have Everything,More Life,2017, uh man fresh up out the sand february tan its the boy but im still the man come and get your mans i dont know first you caught the hands then you took the stand its a joke but you say you real i dont understand on a yacht me and all the dogs actin like some dogs we evolved used to think vacation meant niagara falls swear to god shout to buffalo never duckin low i dont stop man im stuck on go always hug the road fuck a opp make his body roll yeah a lot of those started out doin college shows calipari flow then i popped like you never seen we with everything i went off in the 16 give me 17 want a lot cant have everything cant have everything want a lot cant have everything but i want everything bad attitude tellin who to calm down tryna cool it all down whos callin my name whos involved now tell me who i gotta down ill do a song now man even though theres way less to prove to yall now man everything that went around is comin back around yall better hit the ground goddamn beef forever unfinished yeah its all open ended had me off for a minute had you all since beginnin damn i must be coachin cause im not playin with them can you not see the difference i mean i keep the fuckin lights on in the buildin man my record deal should be 500 million goddamn cant have everything cant have everything want a lot cant have everything but i want everything finally got my mind in a free state niggas tried to serve me up a cheesesteak i gave them back a clean plate same niggas preein cause they hate to see the team straight same niggas beakin always duckin my release dates thats when the phone starts ringin like are we straight two faced niggas back around with the three face damn ol triple double russ face watch with the bust face never met the plug but i rap about the plug face never met myself i dont remember who i was face yall fuckin hilarious yall really think yall niggas teamin up is scarin us yall niggas is arrogant yall sleep at the sheraton all that shit embarrassin tell your big homie im all for goin there again he aint even die and i ball with his inheritance all thats in my account at the bank of america all that drake hysteria 6 side east side all that for my area you know hun im a bit concerned about this negative tone that im hearing in your voice these days i can appreciate where your uncertainty stems from and you have reason to question your anxieties and how disillusioned you feel as well as feeling skeptical about who you believe you can trust but that attitude will just hold you back in this life and youre going to continue to feel alienated give some thought to this because i m confident in you and i know you can reach your desired destination and accomplish your goals much more quickly without this confrontation im hearing in your tone these days when others go low we go high 
Nothings Into Somethings,More Life,2017, you ever hear some slow tracks you know what im sayin with like some pimpin to it or somethin that you can relax pop a top to or somethin big cup of ac im drowsy im still posted up where you first found me did i just read that you just got engaged on me i heard from your friend you couldnt even tell me or better yet wait on me nah sha nah nah nah nah nah sha nah nah nah nah nah cant just leave it off that way sha nah nah nah nah nah sha nah nah nah cant just leave it off that way nah least do i get an invitation or something a statement or something ask about that you would say it was nothing but heres another nothing that you made into something cant just leave it off that way
Fake Love,More Life,2016, ive been down so long it look like up to me they look up to me i got fake people showin fake love to me straight up to my face straight up to my face ive been down so long it look like up to me they look up to me i got fake people showin fake love to me straight up to my face straight up to my face somethin aint right when we talkin somethin aint right when we talkin look like you hidin your problems really you never was solid no you cant son me you wont never get to run me just when shit look out of reach i reach back like one three like one three yeah thats when they smile in my face whole time they wanna take my place whole time they wanna take my place whole time they wanna take my place yeah i know they wanna take my place i can tell that love is fake i dont trust a word you say how you wanna clique up after your mistakes look you in the face and its just not the same ive been down so long it look like up to me they look up to me i got fake people showin fake love to me straight up to my face straight up to my face ive been down so long it look like up to me they look up to me i got fake people showin fake love to me straight up to my face straight up to my face yeah straight up to my face tryna play it safe vibe switch like night and day i can see it like right away i came up you changed up i caught that whole play since things never been the same thats when they smile in my face whole time they wanna take my place whole time they wanna take my place whole time they wanna take my place yeah i know they wanna take my place i can tell that love is fake how you wanna clique up after your mistakes look you in the face and its just not the same ive been down so long it look like up to me they look up to me i got fake people showin fake love to me straight up to my face straight up to my face ive been down so long it look like up to me they look up to me i got fake people showin fake love to me straight up to my face straight up to my face skrrt and more chune for your headtop so watch how you speak on my name you know 
Jorja Interlude,More Life,2017, when you see them fall down but you pick em up you still let them touch the ground dont worry i swear theyll know youre trying to help em tryna stay light on my toes just ran a light in a rolls told me im lookin exhausted you hit it right on the nose im tired of all of these niggas im tired of all of these hoes worried bout takin my lane they aint even got on the road they turn they back and they leave you they gon be back when they need you i practice good over evil flippin the script like a read through yeah all of my brothers we equal i play my part too like a sequel you tell your niggas you got em on anything question is do they believe you specially when you never come through so much hate inside your heart we dont even know what we done to you we just know shit gettin run through never chase it let it come to you you out here tellin everybody everything you niggas move like the one two yeah when you see them fall down but you pick em up you still let them touch the ground dont worry i swear theyll know youre trying to help em theyll know youre trying to help em theyll know youre trying to help em theyll know youre trying to help em theyll know theyll know and more chune for your headtop so watch how you speak on my name you know 
Blem,More Life,2017, unruly unruly maddas who keeps bringing more i ve had too many this virginia done me off already i m blem for real i might just say how i feel i m blem for real i might just say how i feel dont switch on me i got big plans we need to forward to the islands and get you gold no spray tans i need you to stop runnin back to your ex hes a wasteman i wanna know how come we can never slash and stay friends im blem for real i might just say how i feel im blem for real i might just say how i feel cause i know what i like i know how i wanna live my life i don t need no advice you re not here and we both know why so move from me when youre extra move from me with the passa i m buildin up a house where they raised me you move with me i ll go crazy don t switch on me i got big plans we need to forward to the islands and get you gold no spray tans i need you to stop runnin back to your ex he s a wasteman i wanna know how come we can never slash and stay friends i m blem for real i might just say how i feel i m blem for real i might just say how i feel i know we can t keep it together forever cause you re crazy sometimes and i only see you sometimes move from me when youre extra move from me with the passa i m buildin up a house where they raised me you move with me ill go look just don t switch on me i got big plans we need to forward to the islands and get you gold no spray tans i need you to stop runnin back to your ex he s a wasteman i wanna know how come we can never slash and stay friends i m blem for real i might just say how i feel i m blem for real i might just say how i feel together forever good morning good afternoon good night im here to talk about more life one second
Portland,More Life,2017, murda on the beat so its not nice yeah it s a habibis ting ya yeah my side girl got a 5s with the screen cracked still hit me back right away better not never hesitate dont come around thinkin you gettin saved tryna show the dogs brighter days got a torch tryna light the way bitin everybody which is ironic cause your next album probably wont ever see the light of day had fans but you let em down but i guess thats how you niggas gettin down im so high up im like how is niggas really gettin down i could never have a kid then be out here still kiddin round boys playin around where you really wanna take it now i got a 150 000 dollars for an afterparty and i gave it to the killas just to break it down bring us up i never take us down but if you bring me up then they might take you down fake fucked with me back then but its gettin hard for you to fake it now fuck bein rich when im forty man im tryna make it now hell nah never let these niggas ride your wave nope no way nah never let these niggas ride your wave nope no way nah park the benz just to the ride the wraith skrrt skrrt ten million dollars gotta hide the safe skrrt skrrt oh michael phelps with the swim moves skrrt skrrt oh michael jordan with the tennis shoes skrrt skrrt quavo young nigga i invented you griselda blanco with the trap moves undertaker with the tattoos switch it up they bit the last move you got the goin out sad bitches you spent your last fifty you got the key to defeat you got the key to the peace hell nah never let these niggas ride your wave nope no way nah never let these niggas ride your wave nope no way nah park the benz just to ride the wraith skrrt skrrt ten million dollars gotta hide the safe we gon go live we gon go live yep ocean deep in my swimmin pool throwin dead prez in my livin room takin shots feelin bulletproof flood my rollie told my bitch lets go snorkelin no i did not sign with jay but i still send a tidal wave yeah i might just go get the fade buy the du rag and just tie the waves yeah its lit at the crib you could stay me and drake kick like kid n play god the way that she servin that cake i gotta sit back and digest i mix double the cup when i stress got my momma out the basement thats a different type of face lift free max b up out the bracelets dont hit us askin what the wave is hell nah never let these niggas ride your wave nope no way nah never let these niggas ride your wave nope no way nah park the benz just to the ride the wraith skrrt skrrt ten million dollars gotta hide the safe skrrt skrrt oh michael phelps with the swim moves skrrt skrrt oh michael jordan with the tennis shoes skrrt skrrt oh michael phelps with the swim moves skrrt skrrt oh michael jordan with the tennis shoes
Lose You,More Life,2017, no snow tires the range slip slide like trick daddy and trina oli north pull in like 10 million a season queen street visions that nobody believed in if we not on the charts my xo niggas eatin fifty two consecutive weekends shout out to weeknd the city gets stronger when everybody is speakin not when everybody out here beefin we got it now we just gotta keep it americas most wanted man im still on the run all these number ones and we still not the ones no hard feelings but ill still get you spun went and got diplomas and we still goin dumb please never label niggas who lay down for a livin my competition its beyond offensive im in it for the glory not the honor mention not tryna be fourth and inches im tryna go the distance yeah distance im on a different mission this the remix to ignition hot and fresh out the kitchen how you forget to fill up with gas on the road to riches too overly ambitious too late to fix it too late for condolences when its over with i need to start sayin shit when i notice it be open with people i need some closure with be honest with myself and take ownership opinions started to burn when tables started to turn i really used to feel like they loved a nigga at first excitin times revitalized trust this little light of mine is gonna shine positively im just takin what god will give me grateful like jerry bob and mickey better attitude well see where it gets me i know catchin flies with honey is still sticky i wrote the book on world class finesses and tasteful gestures and makin efforts and never placin second and even better knowin youre first but then takin second inspirin and never takin credit i know i deserve more i just never said it two middle fingers as i make a exit yeah did i lose you did i did i did i lose you did i did i did i lose you winnin is problematic people like you more when you workin towards somethin not when you have it way less support from my peers in recent years as i get established unforgivin times but fuck it i manage why is my struggle different than others only child that s takin care of his mother as health worsens and bills double that s not respectable all of a sudden i don t get a pat on the back for the come up what do you see when you see me when did all the things i mean from the bottom of my heart start to lose meaning maybe i share it with too many people back then it used to just feel like our secret back when i would write and not think about how they receive it i be tryna manifest the things i needed and look now i mean its hard to believe it even for me but youre mindful of it all when your mind full of it all how they go from not wantin me at all to wantin to see me lose it all things get dark but my aura just starts glowin im overcome with emotions ones i cant access when im stoned sober jealous ones still envy and niggas turn king cobra i could only speak what i know of man we wrote the book on calculated thinkin and icy heineken drinkin and rival neighborhoods linkin and puttin your trust in someone with the risk of financially sinkin all you did was write the book on garbage ass rollies ego strokin picture postin claimin that youd do it for motivational purposes only but you just had to show me see i know cause i study you closely i know when someone lyin i notice people standin for nothin and gettin tired i know what were both thinkin even when youre quiet sometimes i gotta just make sure that i didnt lose you did i did i did i lose you did i did i did i lose you this is the 6 s year six hundreds instead of six ovo you know we ll be rockin our asses out to my big brother drizzy you know what i m sayin more life 6 to the world gang shit
Get It Together,More Life,2017, hello ive been hurt so many times it got to a point when i decided i cant do this anymore i need someone to hold me i need someone that needs me i need someone that loves me you need me to get that shit together so we can get together you need me to get that shit together so we can get together you need me to you need me to you know we dont have to be dramatic just romantic do all the little things little things little things that excites me as your woman give me a kiss goodnight over the phone when youre working late when youre out of town tell me how much you need this cause we deserve it we can be together but you need me to get that shit together so we can get together you need me to get that shit together so we can get together you need me to you need me to dun know already cuz
Ice Melts,More Life,2017, yeah nigga what you thought slatt slatt slatt jeffery feelin rough rough baby im needin somethin somethin i wan beat it up with somethin somethin youre a diamond out the rough or somethin somethin you need to give it up to someone you need to give love to someone you need to fuckin stop watchin me you need to give it up to someone before you end up like woah woah woah woah like woah woah woah woah woah woah woah woah woah woah woah woah woah look i want you to myself but i know you just left someone else i know you did he did a number on you that must be why you move so icy icy like 1017 icy like theres nobody you d ever need better not give that up to anyone but me patient as can be but i still need some satisfaction a little less talk and a little more action i need you out in jamaica relaxin thought i had everything somehow feelin rough rough baby im needin somethin somethin i wan beat it up with somethin somethin youre a diamond out the rough or somethin somethin you need to give it up to someone you need to give love to someone you need to fuckin stop watchin me you need to give it up to someone before you end up like woah woah woah woah like woah woah woah woah woah woah woah woah woah woah woah woah woah i wanna see you do more in this life if we takin it there see you when i see the real thing gettin realer and realer yeah yeah yeah but you icy like 1017 better not give that up im here patient as can be man i still need some satisfaction a little less talk and a little more action i need you out in jamaica relaxin thought i had everything somehow feelin rough rough baby im needin somethin somethin i wan beat it up with somethin somethin youre a diamond out the rough or somethin somethin you need to give it up to someone you need to give love to someone you need to fuckin stop watchin me you need to give it up to someone before you end up like woah woah woah woah like woah woah woah woah woah woah woah woah woah woah woah woah woah jeffery yeah nigga what you thought slatt slatt slatt jeffery jeffery woah woah woah woah woah woah woah woah woah woah woah woah
